"","Master","lowtag","utme","utmn","eartag1","eartag2","area","county","captyr","captmo","captday","traptype","landtype","locname","UTM.Zone","age","sex","freq","typeofmark","RwdExp","VIT","X2freq","CollarID","NeckCirc","captcomments","mtherlt","fwn1lt","fwn1frq","fwn2lt","fwn2frq","fwn3lt","fwn3frq","fwn4lt","fwn4frq","lowhigh","individual.local.identifier","event.id","visible","timestamp","location.long","location.lat","comments","gps.dop","gps.fix.type.raw","height.raw","sensor.type","individual.taxon.canonical.name","tag.local.identifier","study.name","NewDate","Year","WTYear","timelag","x","y","SeasonYear","SeasonYearBurst"
"46170","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862018901,"true","2019-03-25 03:30:21.000",-78.4460301,40.3329476,"DMAP North:166.3",1.4,"val. GPS-3D",375.67,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-25 03:30:21,"2019","20863_20887M_2019",16801201,1470494.16898366,2060451.82199609,"Spring19","20863_20887M_Spring19"
"46171","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862019109,"true","2019-03-25 07:00:23.000",-78.4531867,40.3361441,"DMAP North:166.3",2,"val. GPS-3D",374.77,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-25 07:00:23,"2019","20863_20887M_2019",12602,1469835.99276426,2060693.61491674,"Spring19","20863_20887M_Spring19"
"46172","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862019322,"true","2019-03-25 10:30:32.000",-78.4529584,40.3345587,"DMAP North:166.3",1.4,"val. GPS-3D",415.25,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-25 10:30:32,"2019","20863_20887M_2019",12609,1469887.35619917,2060522.54318851,"Spring19","20863_20887M_Spring19"
"46173","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862019514,"true","2019-03-25 14:00:18.000",-78.453182,40.3339233,"DMAP North:166.3",1.4,"val. GPS-3D",411.83,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-25 14:00:18,"2019","20863_20887M_2019",12586,1469881.84436042,2060449.12921456,"Spring19","20863_20887M_Spring19"
"46174","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862019732,"true","2019-03-25 17:30:29.000",-78.4546751,40.334219,"DMAP North:166.3",1.2,"val. GPS-3D",376.25,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-25 17:30:29,"2019","20863_20887M_2019",12611,1469752.12726749,2060458.70460952,"Spring19","20863_20887M_Spring19"
"46175","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862019934,"true","2019-03-25 21:00:17.000",-78.45472,40.3338052,"DMAP North:166.3",1.2,"val. GPS-3D",427.27,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-25 21:00:17,"2019","20863_20887M_2019",12588,1469756.87872148,2060412.44487652,"Spring19","20863_20887M_Spring19"
"46176","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862020153,"true","2019-03-26 00:30:25.000",-78.4526923,40.3345006,"DMAP North:166.3",1.4,"val. GPS-3D",330.14,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-26 00:30:25,"2019","20863_20887M_2019",12608,1469910.58478834,2060520.24220546,"Spring19","20863_20887M_Spring19"
"46177","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862020352,"true","2019-03-26 04:00:18.000",-78.4530826,40.3345383,"DMAP North:166.3",1.2,"val. GPS-3D",402.47,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-26 04:00:18,"2019","20863_20887M_2019",12593,1469877.48720122,2060518.38445065,"Spring19","20863_20887M_Spring19"
"46178","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862020565,"true","2019-03-26 07:30:18.000",-78.4521734,40.3345845,"DMAP North:166.3",1.4,"val. GPS-3D",408.79,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-26 07:30:18,"2019","20863_20887M_2019",12600,1469951.8439813,2060537.47095598,"Spring19","20863_20887M_Spring19"
"46179","Y",20863,717076,4468110,20863,20887,"2874North",NA,2019,3,24,"Drop","Private","Jim Russell","17N","J","M",6.3,"GPS Collar",NA,"N",NA,31252,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20863_20887","20863_20887M",15862020784,"true","2019-03-26 11:00:22.000",-78.4541772,40.3342546,"DMAP North:166.3",1,"val. GPS-3D",396.31,"gps",NA,31252,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-03-26 11:00:22,"2019","20863_20887M_2019",12604,1469792.63639595,2060470.29034089,"Spring19","20863_20887M_Spring19"
